J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
0.1, 0.0, 0.0, 8.52065500035748e-06, 0.0, 9.650959049193104e-13, -1.9999999999883604, 1.4284336859806493e-11, 1.481751104534831e-11, 2.0000000000174607, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 0.3333333333333333, 0.0, 6.75360695939764e-06, 3.2169863497310343e-13, 3.35969963897928e-12, -1.999999999992754, -0.33333333332389825, 0.3333333333421425, 2.0000000000109983, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 0.6666666666666666, 0.0, 1.1516897911192925e-05, 2.23979975931952e-12, 4.0192307884540256e-11, -1.9999999999794282, -0.6666666666381299, 0.6666666666912213, 2.0000000000325184, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 1.0, 0.0, 2.7614230326544753e-05, 2.711657055799994e-11, 6.412054276177192e-12, -1.9999999998881448, -0.999999999827132, 1.0000000001321943, 2.000000000193208, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 1.3333333333333333, 0.0, 8.682358600166362e-06, 6.514502610104315e-12, -2.8130810718643427e-11, -1.999999999990348, -1.3333333333146342, 1.3333333333447928, 2.000000000020507, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 1.6666666666666665, 0.0, 4.837105568884846e-06, 8.362696745570989e-12, 0.7489635220739855, -1.9999999999983837, -1.6666666666594268, 1.6666666666687973, 2.000000000007753, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 2.0, 0.0, 0.5262776086321279, 0.49930901472250483, 1.49999999998067, -2.052629663538121, -1.84211862008524, 1.952905868624292, 2.1634169120771705, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 2.333333333333333, 0.0, 3.528543792141346e-06, 0.9999999999954758, 0.7510364779115316, -2.333333333332449, -1.9999999999961184, 2.000000000001115, 2.333333333337448, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 2.6666666666666665, 0.0, 5.8460809392348045e-06, 0.9999999999968592, -3.748235055667237e-11, -2.66666666666217, -1.999999999991402, 2.00000000000508, 2.666666666675849, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 3.0, 0.0, 2.663144286410568e-05, 0.9999999999704876, 1.0303424780033765e-12, -2.999999999892166, -1.9999999998354108, 2.000000000119185, 3.0000000001759437, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 3.333333333333333, 0.0, 1.0122401265813541e-05, 0.9999999999975461, 4.353317706318194e-11, -3.3333333333166557, -1.999999999977162, 2.00000000001822, 3.3333333333577095, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 3.6666666666666665, 0.0, 5.491408678268139e-06, 0.9999999999995097, 3.618605415312004e-12, -3.6666666666613725, -1.9999999999932014, 2.00000000000574, 3.666666666673911, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 4.0, 0.0, 1.930939434721668e-06, 0.9999999999999585, 6.529776719332858e-13, -3.9999999999993547, -1.9999999999992046, 2.000000000000694, 4.000000000000844, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 4.333333333333333, 0.0, -7.944679381122716e-07, 0.999999999999945, 5.229150445984487e-14, -4.333333333332182, -1.9999999999986224, 2.0000000000012363, 4.333333333334792, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 4.666666666666666, 0.0, -1.6649405918480412e-07, 0.9999999999999933, 7.377431998634165e-14, -4.66666666666648, -1.99999999999979, 2.000000000000194, 4.666666666666895, 1.0, 0.0, 0.0, 0.0, 1 
0.1, 5.0, 0.0, 1.5058161132466665e-07, 0.9999999999999942, 2.6645352591003757e-15, -4.999999999999807, -1.999999999999775, 2.0000000000002083, 5.0000000000002345, 1.0, 0.0, 0.0, 0.0, 1 
2.0, 0.0, 0.0, 0.9682468902089452, 0.0, 0.11718906758348742, -4.2499999999949765, 3.7500044390881495, 3.7500118841080403, 11.75001632319116, 1.0, 0.0, 0.0, 0.0, 0 
